regions,x,y
Andijan,528,-51
Fergana,470,-73
Namangan,434,-21
Tashkent,368,-24
Sirdarya,278,-76
Jizzakh,203,-103
Samarkand,124,-120
Kashkadarya,135,-210
Surkhandarya,210 -296
Bukhara,-84,-101
Navai,-65,67
Karakalpakstan,-266,169
